ResolvedPersonID,n_cases,n_districts,cross_jurisdiction,n_co_accused_links,community_id,dominant_crime_subhead_id
42182,23,12,True,25,86,12
6528,23,10,True,23,7,5
10654,23,10,True,30,6,5
21543,23,10,True,23,12,12
28261,23,10,True,33,56,12
5050,23,8,True,23,45,5
8593,23,8,True,29,59,5
13571,23,8,True,27,74,18
20442,23,8,True,29,6,12
28449,23,8,True,35,221,5
3348,23,7,True,32,135,12
10786,23,7,True,33,19,12
12451,23,6,True,23,135,12
12742,23,6,True,20,43,12
27169,23,6,True,38,62,12
6421,23,5,True,19,53,4
16763,23,5,True,31,12,12
9983,23,4,True,35,1,9
15069,23,4,True,31,64,12
22850,23,4,True,25,52,20
25829,23,4,True,30,59,9
32943,23,4,True,27,74,14
17783,23,1,False,34,1,12
6608,22,11,True,30,10,9
23441,22,11,True,31,86,12
30952,22,11,True,32,53,5
41404,22,10,True,28,14,5
4194,22,9,True,33,10,12
28719,22,9,True,26,12,12
56453,22,8,True,30,111,8
12076,22,7,True,28,26,12
16522,22,7,True,19,25,5
26176,22,7,True,31,68,20
34766,22,7,True,25,2,12
54396,22,7,True,29,1,12
407,22,6,True,22,126,12
3528,22,6,True,28,25,14
9461,22,6,True,36,63,12
331,22,5,True,26,19,12
2672,22,5,True,25,53,12
16854,22,5,True,32,63,12
4517,22,4,True,26,114,14
11680,22,4,True,19,62,12
11908,22,3,True,33,105,18
15510,22,3,True,36,43,12
15271,22,2,True,27,166,5
16975,21,13,True,28,114,12
14863,21,11,True,19,48,18
35466,21,11,True,28,16,12
45644,21,11,True,25,25,20
60198,21,10,True,30,86,12
8907,21,9,True,33,166,9
20513,21,8,True,24,18,20
24347,21,8,True,21,52,12
28668,21,8,True,22,64,5
4917,21,7,True,29,19,12
6973,21,7,True,24,52,18
12513,21,7,True,33,22,12
14841,21,7,True,26,25,12
36530,21,7,True,29,62,20
40728,21,7,True,27,93,12
10480,21,6,True,29,19,4
22635,21,6,True,18,53,12
26074,21,6,True,18,6,4
39238,21,6,True,24,139,13
62461,21,6,True,21,74,5
11700,21,5,True,22,135,12
11879,21,5,True,28,221,5
11880,21,5,True,20,62,20
17664,21,5,True,18,20,14
32362,21,5,True,21,44,5
44635,21,5,True,32,59,11
1696,21,4,True,21,19,13
5809,21,4,True,23,126,5
11966,21,4,True,27,12,9
25340,21,4,True,15,221,18
425,21,3,True,19,25,20
7200,21,3,True,22,62,12
16542,21,3,True,31,25,20
4605,21,2,True,33,74,5
15048,21,2,True,23,70,5
11764,21,1,False,25,135,12
14989,21,1,False,29,0,12
32406,21,1,False,28,14,27
25370,20,11,True,32,161,14
28892,20,9,True,14,56,18
40525,20,9,True,25,93,15
40639,20,9,True,30,80,12
27641,20,8,True,24,62,13
4222,20,7,True,20,142,18
2244,20,6,True,28,12,12
2556,20,6,True,20,74,4
8486,20,6,True,23,161,12
16622,20,6,True,20,12,12
18172,20,6,True,28,7,12
31288,20,6,True,29,56,12
53504,20,6,True,34,54,2
24231,20,5,True,24,44,5
22087,20,4,True,26,142,13
27671,20,4,True,13,68,12
32370,20,4,True,22,23,12
50897,20,4,True,19,35,5
1941,20,3,True,22,63,12
12105,20,3,True,21,62,12
15306,20,3,True,26,43,12
23142,20,3,True,24,40,12
60594,20,3,True,23,111,13
339,20,2,True,17,111,9
20379,20,2,True,25,19,12
32510,20,2,True,26,126,5
30818,19,12,True,22,0,12
31650,19,12,True,22,86,18
38871,19,11,True,20,106,12
52256,19,11,True,19,31,5
13316,19,9,True,17,63,9
17890,19,9,True,27,70,18
33680,19,9,True,22,6,20
55905,19,9,True,17,111,15
21428,19,8,True,21,10,12
22121,19,8,True,27,53,12
25804,19,8,True,22,166,14
26190,19,8,True,21,7,14
2373,19,7,True,34,28,20
3980,19,7,True,31,142,12
7370,19,7,True,19,86,12
22902,19,7,True,25,86,18
3911,19,6,True,25,54,12
10401,19,6,True,19,97,20
14012,19,6,True,16,161,9
16720,19,6,True,16,37,13
34154,19,6,True,23,142,12
15410,19,5,True,14,37,12
20757,19,5,True,31,86,17
21295,19,5,True,16,52,5
21354,19,5,True,19,105,5
32665,19,5,True,28,44,18
32927,19,5,True,25,12,12
4799,19,4,True,23,10,14
8213,19,4,True,21,86,5
11960,19,4,True,19,105,12
19953,19,4,True,20,30,12
21224,19,4,True,15,6,4
22960,19,4,True,24,54,9
36629,19,4,True,28,19,13
8739,19,3,True,15,70,7
15250,19,3,True,11,64,8
15411,19,3,True,25,43,14
51390,19,3,True,23,12,5
399,19,2,True,26,1,5
9900,19,2,True,30,114,12
11853,19,2,True,22,62,20
11967,19,2,True,19,62,20
15433,19,2,True,19,59,13
16816,19,2,True,21,166,12
23162,19,2,True,18,70,9
41057,19,2,True,28,12,5
44581,18,13,True,23,139,12
56449,18,12,True,19,70,12
46380,18,11,True,24,2,14
27922,18,10,True,24,179,12
41096,18,10,True,24,22,4
13690,18,9,True,17,95,13
14461,18,9,True,15,51,12
19849,18,9,True,21,70,12
32524,18,9,True,21,19,5
44446,18,9,True,28,23,24
2322,18,8,True,22,73,5
9857,18,8,True,16,114,12
16035,18,8,True,27,294,5
37189,18,8,True,23,45,12
43739,18,8,True,24,93,8
43745,18,8,True,11,95,12
7412,18,7,True,18,31,20
21586,18,7,True,19,105,12
22342,18,7,True,32,25,13
23237,18,7,True,26,0,12
34749,18,7,True,22,70,5
38474,18,7,True,26,31,5
55492,18,7,True,19,95,5
450,18,6,True,24,126,12
687,18,6,True,24,73,14
899,18,6,True,17,44,13
5595,18,6,True,21,7,18
6424,18,6,True,18,137,5
11244,18,6,True,27,45,8
22126,18,6,True,24,30,14
22892,18,6,True,24,28,5
26913,18,6,True,13,114,2
34183,18,6,True,22,52,12
36887,18,6,True,31,135,5
37733,18,6,True,16,86,18
1050,18,5,True,22,31,12
3128,18,5,True,24,114,12
5618,18,5,True,18,43,4
11909,18,5,True,15,62,5
16866,18,5,True,21,12,5
24389,18,5,True,27,43,12
61942,18,5,True,19,43,5
62488,18,5,True,18,6,18
1862,18,4,True,16,10,5
10865,18,4,True,18,93,12
20716,18,4,True,29,0,20
21360,18,4,True,24,25,9
22160,18,4,True,24,135,12
26549,18,4,True,11,30,12
30558,18,4,True,17,58,14
40212,18,4,True,21,3,17
44401,18,4,True,24,12,12
3292,18,3,True,12,25,20
4094,18,3,True,22,72,12
5468,18,3,True,18,126,13
12082,18,3,True,24,52,12
23900,18,3,True,19,86,14
25917,18,3,True,19,59,20
31843,18,3,True,28,74,20
39150,18,3,True,19,63,5
51631,18,3,True,23,12,12
6566,18,2,True,16,14,20
7843,18,2,True,25,97,6
15040,18,2,True,17,14,12
15153,18,2,True,25,51,8
15391,18,2,True,28,26,12
313,18,1,False,20,3,9
11663,18,1,False,16,62,12
55797,17,12,True,21,0,12
134,17,11,True,17,294,12
15010,17,11,True,19,10,8
28309,17,11,True,24,14,14
30493,17,10,True,23,72,14
52990,17,10,True,23,48,12
6418,17,9,True,19,2,12
8464,17,9,True,22,114,5
36757,17,9,True,20,294,12
38663,17,9,True,20,63,20
42311,17,9,True,16,139,12
176,17,8,True,22,126,5
29697,17,8,True,17,40,5
41239,17,8,True,20,72,12
43887,17,8,True,17,161,5
6188,17,7,True,22,54,12
25888,17,7,True,15,161,4
40951,17,7,True,24,105,12
54981,17,7,True,21,62,12
191,17,6,True,22,30,12
3526,17,6,True,26,51,13
6123,17,6,True,22,22,5
10625,17,6,True,22,142,12
21287,17,6,True,24,56,5
21426,17,6,True,14,10,5
26002,17,6,True,21,59,12
43904,17,6,True,11,63,4
552,17,5,True,22,35,12
2517,17,5,True,24,237,14
4037,17,5,True,19,27,5
8288,17,5,True,28,12,12
11682,17,5,True,23,86,12
12992,17,5,True,22,16,12
16303,17,5,True,28,59,12
20663,17,5,True,23,25,12
53556,17,5,True,18,179,5
551,17,4,True,19,18,5
5480,17,4,True,23,52,12
25904,17,4,True,24,43,2
28166,17,4,True,21,31,5
28498,17,4,True,28,51,12
32792,17,4,True,24,44,9
36680,17,4,True,25,161,4
64172,17,4,True,19,93,20
1163,17,3,True,25,2,12
2973,17,3,True,21,137,12
13439,17,3,True,22,25,13
25532,17,3,True,27,135,14
30465,17,3,True,22,52,18
73,17,2,True,18,3,12
527,17,2,True,21,26,12
2204,17,2,True,16,164,18
6233,17,2,True,19,294,12
11889,17,2,True,17,28,12
12642,17,2,True,18,59,20
16343,17,2,True,20,161,12
22900,17,2,True,18,164,12
25896,17,2,True,14,59,5
26838,17,2,True,31,179,5
34691,17,2,True,19,70,9
41200,17,2,True,16,12,14
32440,17,1,False,19,44,12
32488,17,1,False,13,111,5
16463,16,12,True,21,35,12
13391,16,11,True,24,135,5
4181,16,10,True,15,80,12
47658,16,10,True,22,30,5
2568,16,9,True,20,54,18
4704,16,9,True,17,97,12
25595,16,9,True,16,54,5
38240,16,9,True,20,30,12
45734,16,9,True,20,7,14
24394,16,8,True,21,106,12
48154,16,8,True,15,294,5
60983,16,8,True,19,164,18
5533,16,7,True,24,221,5
19501,16,7,True,24,64,12
742,16,6,True,24,40,9
3001,16,6,True,8,68,5
3775,16,6,True,17,25,8
7561,16,6,True,18,221,5
7754,16,6,True,30,19,5
9569,16,6,True,21,70,12
10436,16,6,True,23,114,4
10645,16,6,True,27,86,12
11308,16,6,True,25,139,8
11746,16,6,True,21,14,9
12861,16,6,True,22,64,12
13051,16,6,True,18,63,14
16169,16,6,True,15,106,12
18469,16,6,True,15,111,12
24534,16,6,True,22,2,5
1550,16,5,True,27,97,5
1723,16,5,True,22,137,9
9460,16,5,True,20,6,5
12829,16,5,True,17,105,12
16982,16,5,True,17,25,12
23138,16,5,True,23,80,14
24731,16,5,True,15,59,5
25880,16,5,True,25,63,5
26628,16,5,True,14,10,13
31366,16,5,True,15,51,5
32949,16,5,True,20,30,12
41966,16,5,True,18,139,4
46861,16,5,True,10,30,9
48951,16,5,True,14,63,12
3442,16,4,True,12,51,5
8536,16,4,True,19,14,24
10499,16,4,True,28,93,12
11363,16,4,True,15,16,17
12014,16,4,True,19,62,12
16012,16,4,True,7,12,12
20418,16,4,True,16,93,12
26857,16,4,True,11,19,9
42391,16,4,True,24,12,12
12078,16,3,True,23,62,5
12494,16,3,True,18,139,12
20351,16,3,True,19,74,5
29253,16,3,True,19,37,5
30406,16,3,True,20,56,5
30466,16,3,True,20,52,12
31442,16,3,True,14,53,13
9251,16,2,True,20,164,12
10775,16,2,True,22,18,12
22879,16,2,True,20,86,20
36625,16,2,True,16,114,12
53481,16,2,True,18,80,8
22091,16,1,False,20,161,12
32366,16,1,False,25,14,14
51725,16,1,False,13,12,13
25203,15,12,True,21,56,13
5066,15,11,True,15,70,9
8149,15,11,True,27,51,12
52833,15,11,True,13,105,11
10799,15,10,True,22,59,12
24708,15,10,True,16,10,13
25138,15,10,True,21,2,5
35951,15,10,True,20,30,18
41148,15,10,True,10,179,12
1617,15,9,True,14,1,12
28478,15,9,True,11,106,4
15443,15,8,True,15,86,12
46857,15,8,True,18,30,14
319,15,7,True,17,114,18
2764,15,7,True,18,25,5
3646,15,7,True,22,53,5
15881,15,7,True,22,6,13
17133,15,7,True,15,93,12
18243,15,7,True,20,14,4
26790,15,7,True,12,28,12
30953,15,7,True,21,31,5
31934,15,7,True,24,72,12
52575,15,7,True,16,179,12
52968,15,7,True,18,12,5
2382,15,6,True,19,19,12
3555,15,6,True,19,68,12
4113,15,6,True,18,30,5
6135,15,6,True,26,44,12
6213,15,6,True,26,161,5
15661,15,6,True,18,52,12
30728,15,6,True,14,26,5
30884,15,6,True,21,14,12
31040,15,6,True,16,166,12
33699,15,6,True,24,111,14
38734,15,6,True,19,35,5
42052,15,6,True,18,40,12
50169,15,6,True,15,2,12
2875,15,5,True,20,139,12
4787,15,5,True,24,161,5
5124,15,5,True,19,237,5
6161,15,5,True,13,62,5
14853,15,5,True,18,86,12
14927,15,5,True,20,114,12
15335,15,5,True,24,25,13
15435,15,5,True,17,51,12
17595,15,5,True,18,237,12
18305,15,5,True,19,19,12
24691,15,5,True,20,19,12
28288,15,5,True,22,74,8
32429,15,5,True,24,35,9
1654,15,4,True,20,161,12
1870,15,4,True,19,31,5
1948,15,4,True,20,37,12
2187,15,4,True,25,30,5
5179,15,4,True,17,7,12
8708,15,4,True,13,35,11
8790,15,4,True,22,44,5
12487,15,4,True,19,22,14
13665,15,4,True,14,30,4
13808,15,4,True,20,25,5
15209,15,4,True,27,73,9
16971,15,4,True,18,237,5
20357,15,4,True,13,28,9
24053,15,4,True,15,70,3
28361,15,4,True,11,137,12
29152,15,4,True,15,70,12
36124,15,4,True,21,58,9
37749,15,4,True,15,93,14
44951,15,4,True,18,51,12
46331,15,4,True,14,43,12
2137,15,3,True,19,16,9
4310,15,3,True,15,12,12
10778,15,3,True,20,59,8
17891,15,3,True,17,86,12
23992,15,3,True,18,28,5
25850,15,3,True,18,59,20
26198,15,3,True,21,59,12
28978,15,3,True,18,126,8
36701,15,3,True,11,19,5
36961,15,3,True,16,161,5
2910,15,2,True,23,142,7
11619,15,2,True,22,2,12
11666,15,2,True,21,35,12
11693,15,2,True,18,62,12
11786,15,2,True,7,62,12
20263,15,2,True,17,48,7
25898,15,2,True,18,12,5
28491,15,2,True,27,54,12
34700,15,2,True,14,25,9
52633,15,2,True,23,18,4
42729,15,1,False,13,294,4
51439,15,1,False,23,12,12
38401,14,12,True,21,18,12
45561,14,11,True,6,27,14
30448,14,10,True,20,26,4
16322,14,9,True,21,19,12
25839,14,9,True,22,73,13
32842,14,9,True,15,0,12
467,14,8,True,12,7,4
10361,14,8,True,23,30,12
14495,14,8,True,25,19,13
17083,14,8,True,14,52,5
37855,14,8,True,17,80,5
43321,14,8,True,17,51,12
731,14,7,True,18,294,8
4446,14,7,True,28,179,5
14792,14,7,True,21,74,12
26335,14,7,True,12,114,18
28524,14,7,True,18,114,18
31129,14,7,True,12,114,16
62372,14,7,True,15,45,12
2974,14,6,True,24,19,15
4894,14,6,True,11,30,4
7782,14,6,True,12,14,12
10741,14,6,True,13,6,20
14087,14,6,True,16,18,13
15337,14,6,True,9,19,18
15543,14,6,True,12,26,11
19041,14,6,True,20,51,5
20276,14,6,True,20,25,14
27823,14,6,True,15,45,5
28019,14,6,True,15,25,12
28532,14,6,True,21,54,20
31508,14,6,True,12,12,13
34343,14,6,True,18,126,4
43232,14,6,True,20,68,4
46337,14,6,True,10,114,12
52096,14,6,True,7,56,12
54124,14,6,True,8,111,5
2175,14,5,True,15,27,5
2606,14,5,True,21,12,12
2806,14,5,True,11,62,5
6737,14,5,True,18,48,8
8016,14,5,True,21,12,12
10752,14,5,True,21,294,5
12574,14,5,True,23,62,20
14384,14,5,True,20,86,12
15748,14,5,True,26,31,20
17799,14,5,True,18,126,9
18201,14,5,True,26,68,9
27173,14,5,True,13,161,18
29186,14,5,True,22,51,12
32110,14,5,True,17,59,12
34041,14,5,True,15,68,5
41347,14,5,True,23,63,12
2088,14,4,True,13,80,5
4266,14,4,True,17,10,12
4675,14,4,True,18,16,12
5140,14,4,True,13,126,4
6622,14,4,True,13,30,12
6788,14,4,True,18,25,4
6816,14,4,True,18,26,8
8514,14,4,True,11,166,12
17579,14,4,True,13,12,5
21325,14,4,True,26,25,14
21708,14,4,True,21,126,14
29818,14,4,True,17,44,12
31884,14,4,True,14,80,12
34761,14,4,True,11,105,14
42410,14,4,True,19,56,13
53543,14,4,True,15,179,5
54898,14,4,True,22,105,5
4616,14,3,True,16,70,5
10566,14,3,True,24,166,5
11212,14,3,True,21,37,12
11737,14,3,True,22,62,12
12429,14,3,True,15,22,12
12721,14,3,True,13,1,12
12899,14,3,True,17,114,12
13939,14,3,True,13,68,12
14376,14,3,True,14,63,18
15074,14,3,True,15,19,5
15949,14,3,True,24,53,5
19442,14,3,True,18,137,12
20206,14,3,True,13,294,8
28070,14,3,True,13,63,12
29263,14,3,True,17,58,14
31067,14,3,True,19,31,9
38233,14,3,True,25,68,12
39391,14,3,True,23,31,18
40705,14,3,True,9,135,4
64194,14,3,True,13,179,24
7753,14,2,True,22,70,12
8368,14,2,True,17,2,20
10556,14,2,True,15,294,5
11659,14,2,True,16,28,12
20338,14,2,True,14,27,12
24807,14,2,True,14,31,5
25143,14,2,True,16,54,4
29926,14,2,True,23,68,12
34694,14,2,True,15,70,20
36618,14,2,True,21,161,12
36833,14,2,True,19,161,14
46323,14,2,True,18,72,5
52054,14,2,True,17,12,14
60840,14,2,True,17,10,12
32629,14,1,False,19,142,5
32186,13,11,True,16,45,4
41666,13,11,True,18,20,8
18705,13,9,True,20,62,8
49697,13,9,True,21,45,12
4852,13,8,True,10,45,12
49873,13,8,True,17,70,12
53758,13,8,True,14,105,8
9823,13,7,True,13,16,6
10671,13,7,True,11,28,12
12965,13,7,True,18,45,12
14316,13,7,True,17,63,12
14605,13,7,True,19,26,12
18749,13,7,True,13,3,5
26689,13,7,True,15,126,5
52555,13,7,True,16,20,13
4034,13,6,True,13,237,14
5318,13,6,True,22,16,12
6466,13,6,True,15,93,5
14597,13,6,True,22,56,12
20147,13,6,True,18,114,12
27567,13,6,True,14,72,12
28685,13,6,True,8,62,12
30689,13,6,True,19,135,5
33517,13,6,True,18,294,13
34836,13,6,True,12,139,13
52677,13,6,True,19,54,5
66769,13,6,True,23,86,12
85,13,5,True,19,16,12
231,13,5,True,20,37,4
1488,13,5,True,16,12,12
4019,13,5,True,11,44,14
4152,13,5,True,19,221,14
6315,13,5,True,15,86,12
8354,13,5,True,22,161,2
11582,13,5,True,6,114,5
12935,13,5,True,12,62,12
14319,13,5,True,7,44,12
19108,13,5,True,12,114,9
19747,13,5,True,16,0,5
20417,13,5,True,13,106,8
23455,13,5,True,12,26,12
25060,13,5,True,17,95,5
30903,13,5,True,16,30,5
32392,13,5,True,10,126,14
32778,13,5,True,20,114,18
38676,13,5,True,20,179,13
38826,13,5,True,15,2,14
44064,13,5,True,14,51,9
45754,13,5,True,15,161,12
54296,13,5,True,22,179,14
823,13,4,True,14,35,18
5365,13,4,True,21,53,8
5659,13,4,True,14,237,5
9302,13,4,True,18,68,9
10492,13,4,True,14,44,13
10638,13,4,True,11,142,12
13722,13,4,True,11,48,12
14477,13,4,True,11,2,12
16905,13,4,True,11,54,12
17221,13,4,True,20,44,5
17779,13,4,True,18,73,5
18997,13,4,True,15,114,5
20593,13,4,True,14,86,12
22862,13,4,True,16,86,12
22913,13,4,True,14,62,12
30079,13,4,True,12,12,5
44417,13,4,True,19,56,4
56547,13,4,True,16,30,4
58415,13,4,True,20,70,4
1565,13,3,True,17,80,12
3341,13,3,True,17,30,20
4116,13,3,True,12,62,5
4990,13,3,True,14,6,9
7315,13,3,True,16,139,12
8108,13,3,True,20,114,12
8432,13,3,True,17,27,12
8948,13,3,True,9,44,12
10215,13,3,True,23,10,5
12546,13,3,True,14,97,12
14934,13,3,True,17,137,12
19346,13,3,True,17,58,12
19533,13,3,True,10,106,13
21222,13,3,True,19,56,14
22870,13,3,True,17,7,8
24732,13,3,True,13,40,9
26047,13,3,True,20,1,11
28971,13,3,True,17,54,12
32477,13,3,True,15,111,12
36640,13,3,True,15,161,1
47400,13,3,True,18,43,12
48055,13,3,True,21,14,13
53524,13,3,True,17,179,12
1375,13,2,True,16,179,4
2595,13,2,True,19,12,12
2897,13,2,True,16,72,5
6038,13,2,True,15,2,14
11776,13,2,True,17,62,12
20312,13,2,True,11,106,13
20788,13,2,True,16,25,12
22853,13,2,True,23,86,12
25847,13,2,True,17,59,9
30487,13,2,True,11,62,12
35045,13,2,True,18,105,12
37642,13,2,True,19,164,12
38813,13,2,True,8,97,8
39863,13,2,True,17,2,18
42825,13,2,True,16,0,12
11730,13,1,False,14,62,13
22994,13,1,False,18,70,12
25851,13,1,False,19,37,4
36774,13,1,False,14,161,14
43115,13,1,False,14,106,12
44356,13,1,False,16,7,5
48157,13,1,False,13,51,12
60609,13,1,False,10,18,5
15836,12,10,True,15,135,12
48818,12,9,True,16,0,5
4506,12,8,True,15,35,12
6968,12,8,True,13,95,5
7783,12,8,True,10,40,18
7997,12,8,True,16,142,13
11795,12,8,True,16,114,8
22767,12,8,True,8,3,5
6085,12,7,True,11,25,12
13788,12,7,True,13,22,12
15393,12,7,True,19,37,5
21521,12,7,True,11,6,14
23161,12,7,True,14,6,12
25885,12,7,True,23,30,4
26852,12,7,True,15,111,4
37072,12,7,True,13,14,12
50514,12,7,True,19,37,5
59522,12,7,True,15,72,5
1626,12,6,True,9,114,14
2977,12,6,True,13,12,13
11860,12,6,True,15,62,12
15002,12,6,True,10,68,12
18139,12,6,True,28,6,5
18847,12,6,True,16,294,4
19679,12,6,True,11,63,5
22224,12,6,True,15,1,12
24898,12,6,True,15,62,12
27383,12,6,True,13,114,14
27526,12,6,True,22,97,5
45922,12,6,True,16,72,12
