ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
56,47,1,2023-05-09,1,1,198,2427,1,84,1,0
57,48,1,2023-04-09,1,1,147,1660,3,85,1,0
58,48,1,2023-02-28,1,1,147,1660,3,87,1,0
59,48,1,2023-04-02,1,1,147,1660,3,88,1,0
60,54,1,2023-01-27,1,1,185,2231,3,96,1,1
61,54,1,2023-02-03,1,1,185,2231,3,98,1,0
62,55,1,2023-05-02,1,1,32,8,1,99,1,0
63,56,1,2023-08-04,1,1,138,1533,2,100,1,0
64,57,1,2023-07-30,1,1,147,1672,1,102,1,0
65,58,1,2023-09-28,1,1,39,123,3,103,1,1
66,59,1,2023-09-19,1,1,155,1794,3,104,1,0
67,61,1,2023-12-17,1,1,81,714,2,108,1,0
68,62,1,2023-08-29,1,1,64,495,1,109,1,0
69,64,1,2023-07-10,1,1,64,491,3,111,1,0
70,66,1,2023-11-07,1,1,63,474,3,113,1,0
71,66,1,2023-10-14,1,1,63,474,3,115,1,0
72,67,1,2023-08-29,1,1,79,697,2,116,1,1
73,67,1,2023-09-20,1,1,79,697,2,117,1,0
74,68,1,2023-02-28,1,1,65,505,1,118,1,0
75,68,1,2023-03-06,1,1,65,505,1,119,1,0
76,69,1,2023-02-23,1,1,186,2243,2,121,1,0
77,69,1,2023-03-03,1,1,186,2243,2,122,1,0
78,70,2,2023-08-03,1,1,61,458,1,123,1,0
79,70,1,2023-08-19,1,1,61,458,1,124,1,0
80,71,1,2023-05-13,1,1,138,1524,1,125,1,0
81,72,2,2023-09-20,1,1,135,1484,3,126,1,0
82,75,1,2023-07-02,1,1,126,1343,3,130,1,0
83,76,1,2023-09-21,1,1,121,1263,3,131,1,0
84,77,1,2023-04-28,1,1,80,706,3,132,1,0
85,77,1,2023-04-19,1,1,80,706,3,133,1,0
86,78,1,2023-02-20,1,1,49,281,2,134,1,0
87,80,1,2024-01-20,1,1,75,629,3,136,1,0
88,81,1,2023-04-26,1,1,145,1628,1,137,1,0
89,83,1,2023-03-08,1,1,156,1818,2,141,1,0
90,84,2,2023-10-29,1,1,57,392,1,145,1,0
91,85,1,2023-12-16,1,1,199,2431,3,148,1,0
92,86,1,2023-05-20,1,1,199,2433,1,151,1,0
93,87,1,2023-10-26,1,1,51,309,2,152,1,0
94,88,1,2023-06-22,1,1,42,171,3,153,1,0
95,88,1,2023-07-02,1,1,42,171,3,154,1,0
96,89,1,2023-05-05,1,1,124,1313,1,156,1,0
97,90,1,2023-09-10,1,1,182,2204,2,158,1,0
98,91,2,2023-07-07,1,1,98,932,1,159,1,0
99,92,1,2024-01-02,1,1,113,1160,3,160,1,0
100,93,1,2024-02-12,1,1,180,2167,3,161,1,0
101,94,1,2023-10-08,1,1,179,2145,1,162,1,0
102,94,1,2023-09-19,1,1,179,2145,1,163,1,0
103,94,1,2023-10-03,1,1,179,2145,1,164,1,0
104,95,1,2023-07-29,1,1,160,1878,1,165,1,0
105,95,1,2023-08-08,1,1,160,1878,1,166,1,0
106,95,1,2023-06-24,1,1,160,1878,1,167,1,0
107,96,1,2023-09-08,1,1,99,947,3,168,1,0
108,101,1,2023-03-19,1,1,103,997,2,176,1,0
109,103,2,2023-05-08,1,1,63,483,2,179,1,0
110,103,1,2023-04-04,1,1,63,483,2,180,1,0
111,106,1,2023-10-17,1,1,81,713,2,183,1,0
112,106,1,2023-11-23,1,1,81,713,2,184,1,0
113,106,2,2023-11-03,1,1,81,713,2,185,1,0
114,108,1,2023-12-09,1,1,137,1519,1,188,1,0
115,110,1,2023-09-10,1,1,180,2176,3,190,1,0
116,111,1,2023-12-05,1,1,173,2062,2,191,1,0
117,111,1,2023-12-13,1,1,173,2062,2,192,1,0
118,111,1,2023-12-16,1,1,173,2062,2,193,1,0
119,113,1,2023-07-22,1,1,116,1191,1,197,1,0
120,114,1,2023-11-04,1,1,91,850,3,198,1,0
121,116,1,2023-06-16,1,1,175,2096,1,201,1,0
122,117,2,2023-07-05,1,1,39,126,1,203,1,0
123,118,1,2023-02-19,1,1,55,367,1,205,1,0
124,119,1,2023-11-07,1,1,151,1721,3,206,1,0
125,119,1,2023-11-20,1,1,151,1721,3,207,1,0
126,125,1,2023-05-27,1,1,173,2064,1,214,1,0
127,125,1,2023-05-09,1,1,173,2064,1,215,1,0
128,126,1,2023-10-24,1,1,69,564,1,216,1,0
129,128,1,2023-08-29,1,1,39,126,3,218,1,0
130,128,1,2023-08-21,1,1,39,126,3,219,1,0
131,128,2,2023-08-25,1,1,39,126,3,220,1,0
132,128,2,2023-08-27,1,1,39,126,3,221,1,0
133,131,1,2023-09-12,1,1,160,1875,2,225,1,0
134,131,1,2023-10-23,1,1,160,1875,2,226,1,0
135,132,1,2023-05-25,1,1,200,2447,1,229,1,0
136,132,2,2023-05-30,1,1,200,2447,1,230,1,0
137,132,1,2023-05-29,1,1,200,2447,1,231,1,0
138,134,1,2023-10-13,1,1,126,1348,1,233,1,0
139,135,1,2023-08-24,1,1,198,2424,2,236,1,0
140,136,1,2023-02-12,1,1,95,890,3,238,1,0
141,137,1,2023-07-23,1,1,68,562,2,240,1,0
142,138,1,2023-06-04,1,1,66,523,3,241,1,0
143,139,1,2023-09-30,1,1,129,1389,3,242,1,0
144,140,1,2023-05-15,1,1,89,831,3,245,1,0
145,140,1,2023-05-30,1,1,89,831,3,246,1,0
146,141,1,2023-02-11,1,1,165,1936,3,247,1,0
147,142,1,2023-02-13,1,1,52,322,1,248,1,0
148,144,1,2023-12-19,1,1,60,438,3,251,1,0
149,145,1,2023-09-19,1,1,171,2039,2,252,1,0
150,145,1,2023-10-10,1,1,171,2039,2,253,1,0
151,145,1,2023-09-19,1,1,171,2039,2,254,1,0
152,146,1,2023-08-20,1,1,110,1106,1,256,1,0
153,147,1,2023-09-27,1,1,91,847,1,258,1,1
154,150,1,2023-11-06,1,1,73,613,3,261,1,0
155,150,2,2023-09-16,1,1,73,613,3,262,1,0
156,152,1,2023-06-03,1,1,117,1214,2,264,1,0
157,152,1,2023-07-23,1,1,117,1214,2,265,1,0
158,152,1,2023-07-19,1,1,117,1214,2,266,1,0
159,153,1,2023-09-07,1,1,124,1312,1,267,1,1
160,154,1,2023-07-14,1,1,60,441,2,270,1,1
161,154,1,2023-08-25,1,1,60,441,2,271,1,0
162,155,1,2023-04-24,1,1,195,2379,2,273,1,0
163,156,2,2023-03-27,1,1,154,1787,1,275,1,0
164,158,2,2023-09-26,1,1,107,1073,3,278,1,0
165,159,1,2023-10-13,1,1,98,922,2,280,1,0
166,159,1,2023-11-10,1,1,98,922,2,281,1,0
167,160,1,2023-05-14,1,1,108,1083,3,282,1,0
168,161,2,2023-09-05,1,1,81,710,1,283,1,0
169,162,1,2023-09-04,1,1,77,658,2,284,1,0
170,163,2,2023-03-13,1,1,159,1851,3,288,1,0
171,164,1,2023-08-04,1,1,106,1058,2,289,1,0
172,166,1,2023-11-05,1,1,147,1667,3,291,1,0
173,166,2,2023-11-01,1,1,147,1667,3,293,1,0
174,167,1,2023-12-29,1,1,179,2148,1,294,1,0
175,168,2,2023-08-31,1,1,110,1107,2,295,1,0
176,168,1,2023-07-19,1,1,110,1107,2,296,1,0
177,168,1,2023-08-01,1,1,110,1107,2,297,1,0
178,169,1,2023-06-07,1,1,80,701,3,301,1,0
179,169,1,2023-04-19,1,1,80,701,3,302,1,0
180,170,1,2023-03-27,1,1,168,1995,1,303,1,0
181,173,1,2023-09-10,1,1,198,2424,3,310,1,0
182,174,1,2023-10-26,1,1,173,2064,3,312,1,1
183,175,1,2023-10-05,1,1,103,1006,1,314,1,0
184,175,1,2023-10-04,1,1,103,1006,1,315,1,0
185,178,1,2023-10-16,1,1,179,2147,3,319,1,0
186,178,1,2023-09-19,1,1,179,2147,3,320,1,0
187,179,1,2023-08-31,1,1,126,1345,3,321,1,0
188,180,1,2023-03-14,1,1,89,829,3,325,1,0
189,181,1,2023-06-22,1,1,164,1931,2,326,1,0
190,183,1,2023-01-27,1,1,83,733,1,328,1,0
191,184,1,2023-11-20,1,1,96,896,1,329,1,0
192,185,1,2023-03-17,1,1,74,621,2,330,1,0
193,187,1,2024-01-07,1,1,108,1089,1,335,1,0
194,189,2,2023-11-09,1,1,178,2125,3,337,1,0
195,190,1,2023-05-14,1,1,72,597,2,338,1,0
196,191,1,2023-06-29,1,1,63,480,2,339,1,1
197,193,1,2023-03-27,1,1,176,2107,3,341,1,0
198,193,1,2023-03-07,1,1,176,2107,3,343,1,0
199,193,1,2023-04-13,1,1,176,2107,3,344,1,0
200,194,2,2023-04-05,1,1,117,1211,2,347,1,0
201,195,1,2023-09-24,1,1,59,429,1,348,1,0
202,195,2,2023-09-16,1,1,59,429,1,349,1,0
203,197,1,2023-11-20,1,1,36,71,3,351,1,0
204,198,2,2023-12-21,1,1,69,574,2,352,1,0
205,198,1,2024-01-02,1,1,69,574,2,353,1,0
206,199,1,2023-06-02,1,1,79,690,2,354,1,0
207,202,2,2023-01-31,1,1,176,2098,2,358,1,0
208,205,1,2023-03-07,1,1,83,737,1,363,1,0
209,207,2,2023-08-02,1,1,121,1275,1,365,1,0
210,209,1,2023-02-08,1,1,102,995,2,369,1,0
211,209,1,2023-03-14,1,1,102,995,2,370,1,0
212,211,1,2023-06-05,1,1,169,2020,3,372,1,0
213,211,1,2023-06-05,1,1,169,2020,3,374,1,0
214,212,1,2023-07-28,1,1,142,1575,2,375,1,0
215,215,1,2023-07-27,1,1,161,1881,3,380,1,0
216,215,1,2023-07-18,1,1,161,1881,3,381,1,0
217,218,1,2023-09-26,1,1,88,805,2,385,1,0
218,219,1,2023-10-25,1,1,137,1520,1,386,1,0
219,219,1,2023-11-14,1,1,137,1520,1,387,1,0
220,220,1,2023-11-05,1,1,73,609,2,388,1,0
221,221,1,2023-04-19,1,1,71,585,2,389,1,0
222,222,1,2023-10-17,1,1,117,1207,3,390,1,0
223,222,1,2023-08-31,1,1,117,1207,3,391,1,0
224,223,2,2023-10-18,1,1,76,645,2,393,1,0
225,224,1,2023-08-09,1,1,44,206,2,394,1,0
226,225,1,2023-03-22,1,1,104,1021,2,395,1,0
227,226,2,2023-05-20,1,1,81,715,1,396,1,0
228,227,2,2023-02-01,1,1,161,1886,2,397,1,0
229,228,1,2023-09-13,1,1,148,1682,3,398,1,0
230,228,1,2023-09-10,1,1,148,1682,3,400,1,0
231,229,2,2023-06-06,1,1,174,2070,3,401,1,0
232,230,1,2023-07-10,1,1,145,1627,2,402,1,0
233,232,1,2023-03-22,1,1,89,821,1,405,1,0
234,233,1,2023-03-30,1,1,132,1433,2,406,1,0
235,233,1,2023-05-15,1,1,132,1433,2,407,1,0
236,235,1,2023-10-06,1,1,185,2228,3,409,1,0
237,236,2,2023-11-14,1,1,124,1305,1,413,1,0
238,237,1,2023-03-07,1,1,123,1301,3,414,1,0
239,237,1,2023-01-28,1,1,123,1301,3,415,1,0
240,237,1,2023-02-24,1,1,123,1301,3,416,1,0
241,241,1,2023-05-04,1,1,174,2067,1,420,1,0
242,241,2,2023-05-21,1,1,174,2067,1,421,1,0
243,242,1,2023-07-26,1,1,172,2052,3,424,1,0
244,242,1,2023-08-22,1,1,172,2052,3,425,1,0
245,243,1,2023-05-02,1,1,184,2223,2,426,1,0
246,244,1,2023-02-24,1,1,126,1337,3,427,1,0
247,245,2,2023-09-15,1,1,37,86,3,429,1,0
248,246,1,2024-02-12,1,1,45,228,2,431,1,0
249,247,1,2023-11-08,1,1,106,1047,2,432,1,0
250,248,2,2023-02-26,1,1,67,546,1,433,1,0
251,248,1,2023-02-21,1,1,67,546,1,434,1,0
252,248,1,2023-03-10,1,1,67,546,1,435,1,0
253,249,1,2023-12-22,1,1,191,2311,1,436,1,0
254,249,1,2023-12-13,1,1,191,2311,1,437,1,0
255,251,1,2023-08-24,1,1,194,2360,2,442,1,0
256,252,2,2023-04-07,1,1,38,101,3,443,1,0
257,253,1,2023-09-26,1,1,97,908,1,444,1,0
258,254,2,2024-01-01,1,1,82,726,1,445,1,0
259,255,1,2023-10-16,1,1,172,2049,3,446,1,0
260,255,2,2023-10-26,1,1,172,2049,3,447,1,0
261,255,1,2023-11-07,1,1,172,2049,3,448,1,0
262,255,1,2023-11-14,1,1,172,2049,3,449,1,0
263,256,1,2023-06-09,1,1,74,619,1,450,1,0
264,257,2,2023-08-08,1,1,114,1166,2,451,1,0
265,258,2,2023-05-13,1,1,163,1916,1,453,1,0
266,258,1,2023-05-23,1,1,163,1916,1,454,1,0
267,261,1,2023-02-23,1,1,191,2316,1,458,1,0
268,262,1,2023-12-10,1,1,142,1578,2,459,1,0
269,263,1,2023-06-06,1,1,33,28,2,461,1,0
270,264,1,2023-01-16,1,1,167,1975,1,462,1,0
271,264,1,2023-03-05,1,1,167,1975,1,463,1,0
272,265,1,2023-06-21,1,1,58,398,1,465,1,0
273,267,1,2023-06-28,1,1,192,2331,2,468,1,0
274,268,1,2023-08-25,1,1,82,728,1,470,1,0
275,271,1,2023-09-07,1,1,141,1574,2,473,1,0
276,271,1,2023-09-26,1,1,141,1574,2,474,1,0
277,272,1,2023-11-24,1,1,199,2430,3,475,1,0
278,273,1,2023-07-05,1,1,171,2040,1,476,1,0
279,273,1,2023-06-29,1,1,171,2040,1,477,1,0
280,273,1,2023-06-08,1,1,171,2040,1,479,1,0
281,274,2,2023-05-27,1,1,142,1575,3,481,1,0
282,275,2,2023-05-24,1,1,118,1218,3,483,1,0
283,276,1,2023-11-23,1,1,143,1594,3,484,1,0
284,277,1,2023-09-22,1,1,153,1763,3,487,1,0
285,279,1,2023-12-11,1,1,37,80,1,489,1,0
286,279,2,2023-11-20,1,1,37,80,1,490,1,0
287,279,2,2023-11-08,1,1,37,80,1,491,1,0
288,280,1,2023-12-13,1,1,158,1842,2,493,1,0
289,280,2,2023-12-13,1,1,158,1842,2,494,1,0
290,281,1,2023-03-01,1,1,138,1524,3,495,1,0
291,282,1,2023-03-06,1,1,147,1656,2,496,1,0
292,283,1,2023-04-17,1,1,70,576,3,498,1,0
293,285,1,2023-09-15,1,1,113,1154,1,502,1,0
294,286,1,2023-02-21,1,1,134,1476,1,504,1,0
295,286,1,2023-02-21,1,1,134,1476,1,505,1,0
296,288,1,2024-01-10,1,1,195,2367,1,510,1,0
297,289,1,2023-03-05,1,1,52,327,3,512,1,0
298,289,1,2023-03-28,1,1,52,327,3,513,1,0
299,289,1,2023-04-01,1,1,52,327,3,514,1,0
300,290,1,2024-01-17,1,1,79,696,3,515,1,0
301,290,1,2024-02-09,1,1,79,696,3,516,1,0
302,290,2,2024-02-05,1,1,79,696,3,517,1,0
303,292,2,2023-02-27,1,1,104,1019,1,520,1,0
304,293,1,2023-10-20,1,1,58,414,2,521,1,0
305,295,1,2023-03-27,1,1,94,878,1,523,1,0
306,296,2,2023-07-07,1,1,49,277,2,524,1,0
307,296,1,2023-06-19,1,1,49,277,2,525,1,0
308,296,1,2023-06-23,1,1,49,277,2,527,1,0
309,298,1,2023-09-12,1,1,147,1659,2,530,1,0
310,298,2,2023-08-16,1,1,147,1659,2,531,1,0
311,299,1,2023-07-09,1,1,54,354,3,533,1,0
312,300,1,2023-12-25,1,1,57,390,2,534,1,0
313,300,1,2023-12-18,1,1,57,390,2,536,1,0
314,301,1,2023-10-09,1,1,199,2435,1,537,1,0
315,302,2,2023-01-28,1,1,54,347,1,538,1,0
316,304,1,2023-10-12,1,1,106,1058,2,542,1,0
317,305,1,2024-01-10,1,1,167,1972,3,543,1,0
318,307,1,2023-08-19,1,1,177,2119,2,545,1,0
319,308,1,2023-08-06,1,1,164,1927,1,548,1,0
320,312,1,2023-10-03,1,1,58,414,2,554,1,0
321,312,1,2023-09-29,1,1,58,414,2,555,1,0
322,313,1,2023-05-26,1,1,176,2105,1,557,1,0
323,313,1,2023-05-12,1,1,176,2105,1,558,1,0
324,314,1,2024-01-19,1,1,162,1903,2,559,1,0
325,316,1,2023-02-06,1,1,184,2224,3,561,1,0
326,317,1,2023-03-10,1,1,88,815,2,562,1,0
327,318,1,2024-01-16,1,1,56,374,3,565,1,0
328,320,1,2023-06-06,1,1,84,755,3,568,1,0
329,321,1,2023-06-05,1,1,107,1072,2,570,1,0
330,321,1,2023-06-12,1,1,107,1072,2,571,1,0
331,321,1,2023-06-20,1,1,107,1072,2,572,1,0
332,321,1,2023-06-14,1,1,107,1072,2,573,1,0
333,323,1,2023-03-02,1,1,104,1023,2,575,1,0
334,324,1,2023-07-18,1,1,54,348,1,576,1,0
335,325,1,2023-10-08,1,1,143,1596,1,577,1,0
336,326,1,2023-03-09,1,1,101,972,1,580,1,0
337,326,1,2023-03-07,1,1,101,972,1,581,1,0
338,327,1,2023-06-30,1,1,125,1332,2,582,1,0
339,328,1,2023-04-13,1,1,135,1487,1,583,1,0
340,329,1,2023-10-30,1,1,144,1606,2,585,1,0
341,330,2,2023-08-19,1,1,45,228,2,587,1,0
342,332,2,2023-08-19,1,1,105,1033,1,589,1,0
343,332,1,2023-08-19,1,1,105,1033,1,590,1,0
344,332,1,2023-08-05,1,1,105,1033,1,591,1,0
345,332,1,2023-08-23,1,1,105,1033,1,592,1,0
346,334,1,2023-05-28,1,1,134,1470,2,595,1,0
347,334,2,2023-05-18,1,1,134,1470,2,596,1,0
348,336,1,2023-04-08,1,1,136,1493,2,598,1,0
349,339,1,2023-07-10,1,1,42,172,3,601,1,0
350,340,1,2023-07-20,1,1,97,909,1,602,1,0
351,341,1,2023-03-27,1,1,47,250,1,603,1,0
352,342,1,2023-08-02,1,1,63,482,2,604,1,0
353,343,2,2023-04-24,1,1,92,861,2,605,1,0
354,344,1,2023-07-29,1,1,48,273,2,606,1,0
355,345,1,2023-10-08,1,1,54,339,2,607,1,0
356,346,1,2023-08-04,1,1,177,2124,3,608,1,0
357,346,1,2023-08-16,1,1,177,2124,3,609,1,0
358,347,1,2023-11-27,1,1,70,578,3,610,1,0
359,348,1,2023-03-05,1,1,176,2105,1,611,1,0
360,349,1,2023-10-04,1,1,190,2299,2,612,1,0
361,350,1,2023-07-24,1,1,179,2154,3,613,1,0
362,351,1,2023-04-22,1,1,163,1908,3,614,1,0
363,352,1,2023-09-24,1,1,40,136,1,615,1,0
364,353,1,2023-10-02,1,1,43,184,2,617,1,0
365,353,2,2023-08-24,1,1,43,184,2,619,1,0
366,355,1,2023-09-26,1,1,115,1174,1,621,1,0
367,355,1,2023-11-20,1,1,115,1174,1,622,1,0
368,355,2,2023-10-11,1,1,115,1174,1,624,1,0
369,356,1,2023-11-06,1,1,141,1572,1,625,1,0
370,357,1,2023-12-19,1,1,142,1590,1,626,1,0
371,357,1,2024-01-27,1,1,142,1590,1,627,1,0
372,358,2,2023-04-21,1,1,48,269,3,628,1,0
373,358,1,2023-04-28,1,1,48,269,3,631,1,0
374,359,1,2023-08-18,1,1,147,1659,3,632,1,0
375,360,1,2023-06-20,1,1,59,434,3,634,1,0
376,361,1,2023-05-19,1,1,63,473,3,635,1,0
377,362,1,2023-01-22,1,1,128,1367,2,636,1,0
378,362,1,2023-01-19,1,1,128,1367,2,637,1,0
379,363,1,2023-11-30,1,1,194,2360,3,638,1,0
380,363,1,2023-11-16,1,1,194,2360,3,640,1,0
381,364,1,2023-12-21,1,1,148,1682,2,641,1,0
382,365,1,2023-08-24,1,1,38,113,2,643,1,0
383,365,1,2023-09-26,1,1,38,113,2,644,1,0
384,366,1,2023-12-02,1,1,40,132,2,646,1,0
385,366,1,2023-10-27,1,1,40,132,2,648,1,0
386,367,1,2023-12-21,1,1,50,297,2,649,1,1
387,368,1,2023-01-16,1,1,49,280,3,650,1,0
388,368,2,2023-03-06,1,1,49,280,3,651,1,0
389,369,1,2023-11-06,1,1,136,1495,1,652,1,0
390,370,1,2023-03-04,1,1,165,1950,1,654,1,0
391,371,2,2023-08-09,1,1,153,1767,1,655,1,0
392,372,1,2023-09-06,1,1,175,2093,1,656,1,0
393,373,1,2023-03-26,1,1,172,2048,1,657,1,0
394,373,1,2023-04-06,1,1,172,2048,1,658,1,0
395,373,1,2023-04-29,1,1,172,2048,1,659,1,0
396,374,2,2023-04-30,1,1,34,49,1,660,1,0
397,375,2,2023-10-31,1,1,200,2440,2,661,1,0
398,376,1,2023-05-29,1,1,90,838,2,662,1,0
399,376,1,2023-06-04,1,1,90,838,2,663,1,0
400,378,2,2023-01-18,1,1,157,1825,3,666,1,0
401,378,1,2023-01-29,1,1,157,1825,3,667,1,0
402,380,1,2023-07-30,1,1,85,770,1,669,1,0
403,382,1,2023-04-01,1,1,119,1238,1,672,1,0
404,383,1,2023-03-23,1,1,137,1522,2,675,1,0
405,384,1,2023-10-06,1,1,163,1917,2,677,1,0
406,385,1,2023-10-19,1,1,170,2026,3,678,1,0
407,386,1,2023-01-18,1,1,97,907,1,681,1,0
408,388,1,2023-11-21,1,1,142,1580,1,685,1,0
409,388,1,2023-10-22,1,1,142,1580,1,687,1,0
410,388,1,2023-10-08,1,1,142,1580,1,688,1,0
411,389,1,2023-10-31,1,1,126,1340,3,689,1,0
412,390,1,2023-02-13,1,1,53,333,2,690,1,0
413,391,1,2023-10-31,1,1,146,1645,3,692,1,0
414,391,1,2023-09-23,1,1,146,1645,3,693,1,0
415,391,1,2023-10-03,1,1,146,1645,3,694,1,0
416,392,1,2024-02-15,1,1,168,2002,3,696,1,0
417,392,1,2024-01-05,1,1,168,2002,3,698,1,0
418,393,1,2023-09-18,1,1,57,393,1,699,1,0
419,394,2,2023-11-07,1,1,162,1906,1,701,1,0
420,395,1,2023-06-11,1,1,84,761,3,702,1,0
421,395,2,2023-05-15,1,1,84,761,3,704,1,0
422,396,1,2023-08-11,1,1,53,335,3,705,1,0
423,399,2,2023-03-04,1,1,65,511,2,708,1,0
424,399,1,2023-04-10,1,1,65,511,2,709,1,0
425,400,1,2024-01-27,1,1,165,1942,2,710,1,0
426,400,1,2024-02-07,1,1,165,1942,2,711,1,0
427,401,1,2023-08-01,1,1,130,1412,2,712,1,0
428,404,2,2023-12-22,1,1,125,1328,3,715,1,0
429,404,1,2024-01-08,1,1,125,1328,3,716,1,0
430,405,1,2023-06-09,1,1,170,2029,1,719,1,0
431,406,2,2023-01-19,1,1,89,824,2,721,1,1
432,407,1,2023-09-07,1,1,165,1954,2,722,1,0
433,408,1,2024-01-01,1,1,89,830,2,723,1,0
434,409,1,2023-12-03,1,1,75,627,3,724,1,0
435,409,1,2023-12-12,1,1,75,627,3,725,1,0
436,409,1,2023-11-29,1,1,75,627,3,727,1,0
437,410,1,2024-02-16,1,1,158,1834,1,728,1,0
438,410,1,2024-01-18,1,1,158,1834,1,730,1,0
439,411,1,2023-06-06,1,1,192,2337,3,733,1,0
440,412,1,2023-12-07,1,1,82,724,2,735,1,0
441,412,1,2023-10-24,1,1,82,724,2,736,1,0
442,414,1,2023-04-05,1,1,103,1005,3,739,1,0
443,415,1,2024-01-02,1,1,69,565,1,740,1,1
444,415,2,2024-01-10,1,1,69,565,1,741,1,0
445,417,1,2023-02-03,1,1,82,727,1,743,1,0
446,418,2,2023-06-09,1,1,119,1237,2,744,1,0
447,418,1,2023-04-30,1,1,119,1237,2,745,1,0
448,419,1,2023-12-23,1,1,162,1903,2,746,1,0
449,422,1,2023-04-28,1,1,60,448,3,749,1,0
450,422,1,2023-05-08,1,1,60,448,3,750,1,0
451,423,1,2023-08-30,1,1,192,2338,2,752,1,0
452,424,1,2023-05-09,1,1,135,1484,1,753,1,0
453,426,1,2023-01-18,1,1,69,569,1,755,1,0
454,427,1,2023-02-06,1,1,89,821,2,756,1,0
455,429,1,2023-04-18,1,1,125,1325,3,758,1,0
456,434,1,2023-06-17,1,1,161,1889,3,763,1,0
457,435,1,2023-04-21,1,1,121,1263,3,764,1,0
458,438,2,2023-11-18,1,1,90,838,3,768,1,0
459,439,1,2023-05-16,1,1,79,689,1,769,1,0
460,441,1,2023-04-14,1,1,40,143,1,772,1,0
461,442,1,2024-01-04,1,1,109,1094,2,773,1,0
462,444,1,2023-04-22,1,1,42,180,2,775,1,0
463,445,1,2023-09-17,1,1,131,1426,1,776,1,0
464,448,1,2024-01-12,1,1,97,912,1,780,1,0
465,448,1,2023-12-27,1,1,97,912,1,781,1,0
