CSID,CaseMasterID,csdate,cstype,PolicePersonID
102,102,2023-03-02 06:26:00,A,502
103,103,2023-06-01 22:00:00,C,483
104,104,2023-10-12 05:55:00,A,1376
105,105,2023-12-30 06:12:00,A,1904
106,106,2024-03-06 11:44:00,A,713
107,107,2023-10-19 00:00:00,A,58
108,108,2024-08-09 00:08:00,C,1519
109,109,2024-03-18 03:20:00,C,1695
110,110,2024-02-05 22:53:00,A,2176
111,111,2024-04-25 16:00:00,A,2062
112,112,2024-06-03 21:18:00,C,2371
113,113,2024-02-17 07:26:00,A,1191
114,114,2023-12-08 23:27:00,C,850
115,115,2024-02-04 04:27:00,C,1843
116,116,2023-08-16 03:15:00,C,2096
117,117,2024-02-03 09:38:00,C,126
118,118,2023-07-05 22:32:00,A,367
119,119,2024-03-05 19:28:00,A,1721
120,120,2023-07-03 16:21:00,C,331
121,121,2023-12-20 02:47:00,C,1179
122,122,2024-02-23 00:59:00,C,1529
123,123,2023-11-15 07:52:00,A,1918
124,124,2024-06-10 16:41:00,B,811
125,125,2023-11-06 13:12:00,A,2064
126,126,2024-02-11 15:41:00,C,564
127,127,2024-02-03 04:42:00,C,1531
128,128,2024-02-01 23:38:00,C,126
129,129,2024-08-25 17:46:00,C,233
130,130,2023-09-02 00:26:00,C,964
131,131,2023-12-16 23:09:00,A,1875
132,132,2023-08-19 12:40:00,C,2447
133,133,2024-06-01 00:14:00,C,1962
134,134,2023-11-10 07:46:00,A,1348
135,135,2024-03-26 14:59:00,A,2424
136,136,2023-08-27 08:45:00,A,890
137,137,2023-09-19 13:20:00,A,562
138,138,2024-01-20 09:36:00,C,523
139,139,2024-01-17 06:26:00,C,1389
140,140,2023-06-16 12:58:00,A,831
141,141,2023-09-11 01:00:00,A,1936
142,142,2023-07-01 04:29:00,A,322
143,143,2024-04-05 06:00:00,A,1626
144,144,2024-01-31 01:33:00,A,438
145,145,2023-11-07 09:09:00,A,2039
146,146,2023-10-07 13:48:00,A,1106
147,147,2023-12-02 02:09:00,A,847
148,148,2024-05-03 04:29:00,C,849
149,149,2023-03-28 21:30:00,A,174
150,150,2024-01-11 00:34:00,A,613
151,151,2023-03-24 11:04:00,C,929
152,152,2023-10-28 21:56:00,A,1214
153,153,2023-12-06 14:20:00,B,1312
154,154,2024-01-11 01:52:00,C,441
155,155,2023-05-30 05:20:00,A,2379
156,156,2023-05-24 04:11:00,A,1787
157,157,2023-07-31 07:22:00,A,872
158,158,2023-10-26 02:04:00,A,1073
159,159,2023-12-22 09:14:00,A,922
160,160,2023-10-28 17:53:00,A,1083
161,161,2024-04-15 19:39:00,C,710
162,162,2024-04-19 10:54:00,A,658
163,163,2023-11-08 01:33:00,A,1851
164,164,2023-09-29 04:19:00,A,1058
165,165,2024-06-29 08:41:00,C,1065
166,166,2024-03-09 01:59:00,A,1667
167,167,2024-03-27 07:31:00,A,2148
168,168,2024-01-12 04:47:00,A,1107
169,169,2023-11-22 21:00:00,A,701
170,170,2023-06-11 23:17:00,C,1995
171,171,2024-02-17 23:27:00,C,1246
172,172,2024-06-22 12:34:00,A,439
173,173,2023-10-10 14:01:00,A,2424
174,174,2024-01-04 07:43:00,C,2064
175,175,2024-04-22 03:11:00,A,1006
176,176,2023-12-11 05:51:00,A,1266
177,177,2024-03-17 08:20:00,A,685
178,178,2024-06-10 04:15:00,C,2147
179,179,2024-05-02 06:28:00,C,1345
180,180,2023-06-08 22:12:00,A,829
181,181,2023-08-01 21:48:00,C,1931
182,182,2024-04-23 16:58:00,A,490
183,183,2023-10-09 18:11:00,C,733
184,184,2024-01-13 00:21:00,A,896
185,185,2023-05-06 04:27:00,C,621
186,186,2023-02-18 04:10:00,A,1895
187,187,2024-07-15 20:45:00,A,1089
188,188,2024-04-22 16:33:00,A,1088
189,189,2024-04-02 10:14:00,A,2125
190,190,2023-11-26 00:27:00,A,597
191,191,2024-03-13 10:51:00,A,480
192,192,2023-11-06 11:13:00,C,1551
193,193,2023-05-10 05:28:00,A,2107
194,194,2023-09-16 09:35:00,C,1211
195,195,2024-05-03 21:32:00,A,429
196,196,2024-02-04 03:35:00,C,2379
197,197,2024-01-18 07:13:00,A,71
198,198,2024-08-09 08:30:00,A,574
199,199,2023-08-17 07:35:00,A,690
200,200,2023-07-03 12:06:00,A,2179
201,201,2023-09-13 04:51:00,C,1631
202,202,2023-07-07 02:28:00,A,2098
203,203,2024-03-07 17:03:00,A,478
204,204,2023-10-04 23:35:00,C,1244
205,205,2023-04-19 03:40:00,A,737
206,206,2024-07-08 19:36:00,A,49
207,207,2023-10-30 22:57:00,A,1275
208,208,2024-05-14 00:03:00,A,724
209,209,2023-12-01 02:32:00,A,995
210,210,2023-09-22 00:06:00,A,1086
211,211,2023-08-27 02:33:00,B,2020
212,212,2024-01-13 23:47:00,C,1575
213,213,2024-01-18 06:39:00,C,685
214,214,2024-04-21 04:46:00,C,1329
215,215,2023-10-11 04:24:00,C,1881
216,216,2024-02-28 13:56:00,A,1609
217,217,2023-09-10 04:17:00,C,2209
218,218,2023-11-20 21:40:00,B,805
219,219,2024-07-17 14:15:00,A,1520
220,220,2023-10-31 13:05:00,A,609
221,221,2023-04-11 18:32:00,A,585
222,222,2024-01-01 02:41:00,C,1207
223,223,2024-01-29 23:34:00,A,645
224,224,2024-02-09 17:39:00,A,206
225,225,2023-08-16 18:09:00,A,1021
226,226,2023-12-25 13:34:00,A,715
227,227,2023-06-29 07:42:00,C,1886
228,228,2024-02-29 23:37:00,B,1682
229,229,2023-08-09 21:05:00,A,2070
230,230,2023-12-13 22:02:00,A,1627
231,231,2023-11-19 22:44:00,A,116
232,232,2023-11-25 21:35:00,A,821
233,233,2023-10-23 16:20:00,A,1433
234,234,2023-12-10 18:18:00,A,2065
235,235,2024-04-18 03:43:00,A,2228
236,236,2024-04-28 14:39:00,A,1305
237,237,2023-03-31 14:40:00,C,1301
238,238,2024-02-21 14:09:00,A,1573
239,239,2024-03-24 06:57:00,A,862
240,240,2024-02-12 09:47:00,A,1008
241,241,2023-05-24 00:56:00,A,2067
242,242,2023-09-28 21:18:00,B,2052
243,243,2023-11-24 22:19:00,A,2223
244,244,2023-02-16 18:50:00,B,1337
245,245,2024-01-22 00:41:00,C,86
246,246,2024-02-23 08:39:00,A,228
247,247,2024-01-06 14:25:00,A,1047
248,248,2023-06-01 09:38:00,A,546
249,249,2024-02-07 08:26:00,A,2311
250,250,2024-03-09 04:22:00,C,2347
251,251,2023-11-05 14:17:00,A,2360
252,252,2023-08-07 23:41:00,A,101
253,253,2024-02-12 20:26:00,A,908
254,254,2024-07-12 18:05:00,A,726
255,255,2024-04-18 07:10:00,A,2049
256,256,2023-10-26 05:44:00,C,619
257,257,2024-04-16 12:42:00,A,1166
258,258,2024-02-04 04:23:00,A,1916
259,259,2023-04-14 06:50:00,C,167
260,260,2023-06-08 13:51:00,A,44
261,261,2023-05-09 18:42:00,A,2316
262,262,2024-03-29 09:35:00,B,1578
263,263,2024-02-27 06:37:00,C,28
264,264,2023-08-19 13:37:00,B,1975
265,265,2023-11-06 15:59:00,C,398
266,266,2023-04-22 08:01:00,C,945
267,267,2024-03-05 23:46:00,A,2331
268,268,2023-10-04 18:34:00,A,728
269,269,2024-06-08 10:12:00,C,880
270,270,2023-07-10 13:46:00,C,2338
271,271,2024-03-29 08:07:00,C,1574
272,272,2024-08-29 12:09:00,A,2430
273,273,2023-08-01 20:08:00,A,2040
274,274,2023-07-25 17:35:00,A,1575
275,275,2023-05-25 00:32:00,A,1218
276,276,2024-01-04 10:22:00,C,1594
277,277,2023-11-13 03:51:00,C,1763
278,278,2023-11-12 02:33:00,C,330
279,279,2024-04-11 10:08:00,A,80
280,280,2024-01-29 04:04:00,A,1842
281,281,2023-06-08 07:13:00,A,1524
282,282,2023-10-29 01:40:00,A,1656
283,283,2023-10-10 08:55:00,C,576
284,284,2023-10-16 16:53:00,C,1485
285,285,2023-12-04 18:27:00,A,1154
286,286,2023-05-08 08:15:00,A,1476
287,287,2024-03-27 18:31:00,C,838
288,288,2024-01-16 20:52:00,C,2367
289,289,2023-09-28 19:50:00,A,327
290,290,2024-09-24 04:27:00,A,696
291,291,2023-05-13 02:23:00,A,989
292,292,2023-09-21 03:07:00,C,1019
293,293,2024-04-12 06:44:00,A,414
294,294,2024-03-13 22:02:00,C,23
295,295,2023-12-25 22:24:00,C,878
296,296,2023-06-27 22:53:00,A,277
297,297,2024-08-09 07:36:00,A,1812
298,298,2023-10-28 21:30:00,A,1659
299,299,2023-09-01 07:01:00,A,354
300,300,2023-12-10 21:06:00,A,390
301,301,2024-01-16 19:13:00,A,2435
302,302,2023-06-06 12:20:00,A,347
303,303,2023-06-17 22:22:00,A,1651
304,304,2024-03-29 00:18:00,A,1058
305,305,2024-08-28 17:04:00,C,1972
306,306,2023-09-16 20:26:00,A,291
307,307,2023-11-25 16:12:00,B,2119
308,308,2023-12-29 16:29:00,A,1927
309,309,2023-08-09 13:49:00,A,1945
310,310,2024-05-04 23:08:00,C,108
311,311,2024-01-04 16:41:00,A,480
312,312,2023-11-05 05:36:00,C,414
313,313,2023-06-19 22:52:00,C,2105
314,314,2024-07-03 11:37:00,C,1903
315,315,2023-10-12 19:01:00,A,852
316,316,2023-06-08 21:53:00,A,2224
317,317,2023-06-07 06:27:00,C,815
318,318,2024-04-24 14:15:00,A,374
319,319,2024-01-08 13:13:00,A,1328
320,320,2023-09-14 01:48:00,A,755
321,321,2023-10-14 10:49:00,C,1072
322,322,2024-01-31 05:08:00,B,1716
323,323,2023-10-14 10:05:00,C,1023
324,324,2023-11-19 03:55:00,A,348
325,325,2024-04-11 01:59:00,A,1596
326,326,2023-06-23 22:23:00,A,972
327,327,2024-03-12 06:45:00,A,1332
328,328,2023-10-08 00:28:00,C,1487
329,329,2024-07-17 10:49:00,A,1606
330,330,2023-09-19 11:04:00,B,228
331,331,2023-06-05 01:59:00,C,1354
332,332,2023-10-03 02:03:00,A,1033
333,333,2023-07-25 17:31:00,C,955
334,334,2024-03-11 21:16:00,A,1470
335,335,2023-09-15 23:48:00,C,785
336,336,2023-04-22 01:25:00,A,1493
337,337,2023-09-27 12:21:00,A,1342
338,338,2024-01-29 19:41:00,C,1735
339,339,2023-08-21 09:05:00,A,172
340,340,2024-03-07 18:53:00,C,909
341,341,2023-04-07 10:02:00,C,250
342,342,2023-09-03 01:25:00,A,482
343,343,2023-08-25 23:48:00,A,861
344,344,2024-03-03 07:16:00,B,273
345,345,2024-06-01 04:39:00,C,339
346,346,2023-11-17 15:48:00,A,2124
347,347,2023-12-15 16:43:00,C,578
348,348,2023-11-10 15:28:00,A,2105
349,349,2023-11-05 18:28:00,A,2299
350,350,2024-03-04 00:46:00,C,2154
351,351,2023-06-15 19:31:00,B,1908
352,352,2024-05-02 01:23:00,A,136
353,353,2024-05-23 00:22:00,A,184
354,354,2023-08-24 04:51:00,C,153
355,355,2024-04-26 18:20:00,A,1174
356,356,2024-06-18 23:16:00,A,1572
357,357,2024-02-05 04:25:00,A,1590
358,358,2023-06-30 20:23:00,A,269
359,359,2024-04-10 01:57:00,A,1659
360,360,2023-09-27 04:50:00,C,434
361,361,2024-01-17 02:30:00,C,473
362,362,2023-08-20 15:35:00,B,1367
363,363,2024-03-15 02:40:00,A,2360
364,364,2024-07-28 23:16:00,A,1682
365,365,2024-02-13 03:31:00,A,113
366,366,2024-03-06 10:13:00,A,132
367,367,2024-07-06 10:52:00,A,297
368,368,2023-05-29 06:24:00,C,280
369,369,2024-07-26 13:10:00,A,1495
370,370,2023-05-19 20:30:00,C,1950
371,371,2023-10-23 18:52:00,A,1767
372,372,2024-02-19 17:30:00,A,2093
373,373,2023-06-11 01:20:00,A,2048
374,374,2023-10-30 13:44:00,C,49
375,375,2023-12-12 11:00:00,A,2440
376,376,2024-02-06 03:17:00,C,838
377,377,2023-07-24 01:32:00,C,908
378,378,2023-06-11 17:01:00,A,1825
379,379,2023-02-19 22:37:00,C,18
380,380,2023-10-31 05:40:00,B,770
381,381,2024-01-31 04:00:00,C,1391
382,382,2023-07-31 14:46:00,C,1238
383,383,2023-04-01 13:05:00,C,1522
384,384,2023-10-23 12:44:00,A,1917
385,385,2024-04-30 19:39:00,A,2026
386,386,2023-08-08 13:11:00,C,907
387,387,2024-03-18 22:16:00,B,1441
388,388,2023-11-11 20:36:00,A,1580
389,389,2024-06-22 02:13:00,C,1340
390,390,2023-09-14 07:41:00,B,333
391,391,2024-04-16 20:52:00,C,1645
392,392,2024-02-17 03:58:00,A,2002
393,393,2024-04-06 00:08:00,A,393
394,394,2024-05-31 23:33:00,A,1906
395,395,2023-12-01 09:17:00,A,761
396,396,2023-11-22 02:44:00,A,335
397,397,2023-06-29 05:50:00,C,241
398,398,2023-07-16 17:28:00,A,264
399,399,2023-09-25 06:14:00,A,511
400,400,2024-10-10 05:15:00,B,1942
401,401,2024-01-04 07:10:00,A,1412
402,402,2023-06-04 05:14:00,A,487
403,403,2023-12-14 07:15:00,A,821
404,404,2024-05-02 15:49:00,A,1328
405,405,2023-07-30 16:34:00,A,2029
406,406,2023-03-12 16:45:00,A,824
407,407,2024-01-12 18:41:00,A,1954
408,408,2024-05-22 12:35:00,A,830
409,409,2024-07-13 20:27:00,A,627
410,410,2024-05-07 13:26:00,A,1834
411,411,2023-08-19 03:40:00,A,2337
412,412,2024-08-07 13:43:00,A,724
413,413,2023-06-20 05:12:00,C,10
414,414,2023-11-03 01:57:00,A,1005
415,415,2024-01-18 07:17:00,A,565
416,416,2024-01-23 05:19:00,B,1555
417,417,2023-09-09 07:24:00,A,727
418,418,2023-10-14 02:24:00,A,1237
419,419,2024-06-21 20:35:00,A,1903
420,420,2024-05-03 00:34:00,C,1500
421,421,2023-09-25 04:56:00,A,2265
422,422,2023-10-04 01:57:00,A,448
423,423,2023-11-04 14:04:00,A,2338
424,424,2023-08-24 20:01:00,A,1484
425,425,2023-05-24 04:44:00,C,2389
426,426,2023-06-20 13:32:00,A,569
427,427,2023-07-10 15:20:00,A,821
428,428,2023-12-09 06:39:00,C,1076
429,429,2023-06-05 09:56:00,C,1325
430,430,2023-08-04 16:21:00,B,1062
431,431,2024-01-14 04:01:00,C,2416
432,432,2024-02-04 08:23:00,C,2178
433,433,2023-11-09 11:25:00,A,1552
434,434,2023-09-06 05:19:00,C,1889
435,435,2024-01-22 02:39:00,A,1263
436,436,2023-11-14 16:15:00,C,41
437,437,2023-06-28 01:40:00,A,111
438,438,2024-06-08 00:55:00,C,838
439,439,2023-10-15 02:22:00,A,689
440,440,2023-03-17 00:25:00,B,394
441,441,2023-09-23 04:09:00,A,143
442,442,2024-05-31 11:20:00,A,1094
443,443,2023-09-08 06:01:00,C,2090
444,444,2023-08-16 07:29:00,A,180
445,445,2023-12-13 11:44:00,A,1426
446,446,2024-06-10 07:18:00,A,186
447,447,2023-08-21 18:06:00,C,175
448,448,2024-06-22 02:47:00,A,912
449,449,2023-12-11 14:27:00,A,2067
450,450,2023-07-21 04:29:00,A,858
451,451,2023-06-05 18:59:00,A,548
452,452,2023-08-15 18:58:00,A,741
453,453,2023-10-06 01:58:00,A,2356
454,454,2023-05-17 04:50:00,A,452
455,455,2023-12-03 11:46:00,C,1705
456,456,2023-07-13 14:18:00,A,1922
457,457,2023-10-24 21:44:00,A,742
458,458,2023-11-20 09:43:00,A,265
459,459,2023-12-16 02:44:00,C,568
460,460,2023-12-14 01:46:00,B,2252
461,461,2024-05-15 01:12:00,B,46
462,462,2024-05-07 22:55:00,A,2239
463,463,2024-06-30 01:11:00,C,595
464,464,2024-01-29 06:40:00,A,2237
465,465,2023-10-08 21:37:00,C,1805
466,466,2024-03-05 09:16:00,A,1018
467,467,2023-10-09 02:09:00,B,590
468,468,2023-11-24 23:38:00,A,2033
469,469,2024-02-19 23:25:00,C,1147
470,470,2023-05-31 09:21:00,A,923
471,471,2023-04-17 05:55:00,C,1319
472,472,2024-03-25 12:41:00,C,1816
473,473,2024-02-28 11:05:00,C,2042
474,474,2023-06-17 15:09:00,A,1527
475,475,2024-05-11 05:13:00,A,1123
476,476,2024-07-12 05:39:00,A,2184
477,477,2023-07-24 04:02:00,A,842
478,478,2023-07-13 22:09:00,A,243
479,479,2023-09-18 03:26:00,A,2254
480,480,2024-05-05 19:31:00,A,1294
481,481,2024-03-17 00:41:00,A,841
482,482,2024-05-15 06:59:00,A,2105
483,483,2024-04-11 16:28:00,C,2033
484,484,2023-05-25 09:12:00,A,941
485,485,2023-10-14 22:20:00,A,1209
486,486,2024-07-03 05:54:00,A,2289
487,487,2024-01-28 10:11:00,A,1292
488,488,2024-02-03 08:45:00,C,1207
489,489,2023-09-30 22:19:00,A,599
490,490,2023-11-25 18:58:00,C,1693
491,491,2024-05-25 04:21:00,A,1932
492,492,2024-02-19 19:01:00,C,1761
493,493,2023-11-22 16:33:00,A,1222
494,494,2023-10-09 01:06:00,A,1302
495,495,2024-03-07 11:22:00,A,1466
496,496,2023-08-22 21:45:00,C,1283
497,497,2023-09-21 18:27:00,A,1512
498,498,2024-05-27 20:21:00,A,1702
499,499,2024-05-16 23:02:00,A,576
500,500,2023-07-14 13:14:00,A,346
501,501,2023-12-12 13:05:00,A,1135
502,502,2023-11-25 18:31:00,B,786
503,503,2024-03-14 17:26:00,A,2322
504,504,2024-06-07 22:30:00,C,519
505,505,2023-06-08 03:38:00,A,2004
506,506,2023-11-04 20:05:00,A,354
507,507,2023-05-14 22:25:00,A,442
508,508,2024-03-26 11:09:00,A,1400
509,509,2023-05-27 04:35:00,C,2020
510,510,2023-09-21 08:18:00,A,466
511,511,2024-06-20 19:12:00,C,891
512,512,2024-03-05 19:01:00,A,865
513,513,2024-04-02 23:18:00,A,2284
514,514,2024-06-12 22:28:00,C,1221
515,515,2024-01-04 12:20:00,A,482
516,516,2024-04-05 02:09:00,A,1195
517,517,2024-05-23 20:39:00,C,304
518,518,2023-12-09 13:42:00,B,1602
519,519,2023-08-26 02:48:00,A,2345
520,520,2024-05-02 09:54:00,A,669
521,521,2023-09-08 18:20:00,A,1777
522,522,2024-04-24 20:32:00,A,1276
523,523,2023-10-06 21:30:00,A,2332
524,524,2023-08-28 15:50:00,A,872
525,525,2024-06-25 19:34:00,C,94
526,526,2024-03-24 12:25:00,A,1409
527,527,2023-03-23 02:19:00,C,487
528,528,2024-01-09 19:48:00,A,651
529,529,2023-10-04 17:42:00,C,1501
530,530,2024-01-23 10:15:00,A,560
531,531,2023-10-31 01:57:00,A,401
532,532,2024-09-18 15:54:00,A,1094
533,533,2023-08-07 03:23:00,A,467
534,534,2023-09-02 20:50:00,A,141
535,535,2023-12-13 05:07:00,A,2426
536,536,2024-05-21 10:38:00,A,165
537,537,2023-12-01 04:54:00,C,1223
538,538,2023-09-30 20:38:00,A,2239
539,539,2023-08-01 17:20:00,A,1091
540,540,2024-01-28 06:07:00,C,1999
541,541,2024-04-04 09:47:00,A,913
542,542,2023-04-06 11:13:00,A,83
543,543,2024-01-06 09:01:00,A,518
544,544,2023-11-12 14:21:00,A,856
545,545,2023-10-19 01:17:00,A,1027
546,546,2023-09-13 01:57:00,C,1832
547,547,2023-11-05 19:33:00,C,2431
548,548,2024-07-17 06:25:00,A,175
549,549,2023-11-24 09:14:00,A,347
550,550,2024-03-08 13:20:00,A,1083
551,551,2024-05-12 16:18:00,C,2234
552,552,2024-01-18 01:22:00,A,2393
553,553,2023-03-27 08:05:00,A,775
554,554,2024-03-06 13:02:00,A,1695
555,555,2024-01-06 23:49:00,C,331
556,556,2024-01-26 04:04:00,A,23
557,557,2024-07-10 13:24:00,C,766
558,558,2024-07-02 07:33:00,C,1918
559,559,2023-10-17 03:07:00,A,709
560,560,2023-09-18 05:49:00,A,1426
561,561,2023-09-13 11:21:00,A,1162
562,562,2024-05-13 06:44:00,C,154
563,563,2023-10-11 12:45:00,A,1982
564,564,2024-01-17 04:31:00,A,837
565,565,2023-10-07 08:36:00,A,1437
566,566,2023-10-12 21:41:00,A,1978
567,567,2024-06-02 19:10:00,A,1784
568,568,2024-03-03 08:01:00,A,2311
569,569,2023-08-03 05:13:00,A,451
570,570,2023-12-13 23:17:00,A,2240
571,571,2024-01-30 09:20:00,C,1572
572,572,2024-06-19 08:02:00,A,1289
573,573,2024-06-12 21:24:00,A,602
574,574,2024-02-24 09:44:00,A,314
575,575,2023-09-30 01:33:00,A,508
576,576,2024-06-22 22:01:00,C,2001
577,577,2023-05-30 18:14:00,C,1653
578,578,2024-02-11 00:56:00,C,30
579,579,2023-08-14 03:50:00,A,2026
580,580,2023-04-23 09:32:00,B,640
581,581,2023-06-16 19:51:00,A,1840
582,582,2024-06-26 10:21:00,A,1537
583,583,2023-07-08 17:19:00,C,2373
584,584,2024-03-20 02:29:00,A,2152
585,585,2024-02-17 07:36:00,A,1836
586,586,2023-12-26 03:58:00,A,2428
587,587,2023-10-04 21:39:00,A,2023
588,588,2023-12-17 04:21:00,C,2202
589,589,2023-08-22 03:31:00,C,1307
590,590,2023-10-14 04:13:00,C,125
591,591,2023-09-10 01:51:00,A,698
592,592,2023-12-02 00:49:00,B,1900
593,593,2023-10-30 01:17:00,A,111
594,594,2023-10-24 00:09:00,A,1071
595,595,2024-04-09 00:16:00,C,2104
596,596,2024-02-04 15:53:00,A,2126
597,597,2024-03-13 19:28:00,A,605
598,598,2023-07-21 23:12:00,C,1429
599,599,2023-04-27 10:19:00,A,992
600,600,2023-08-22 15:42:00,B,629
601,601,2024-03-26 02:10:00,A,1942
602,602,2023-05-18 06:27:00,C,617
603,603,2023-10-13 18:30:00,A,500
604,604,2023-11-07 18:57:00,A,2402
605,605,2024-02-08 08:50:00,C,1893
606,606,2023-09-11 00:01:00,A,2064
607,607,2023-10-11 04:54:00,A,587
608,608,2024-06-21 15:02:00,A,439
609,609,2023-10-06 04:35:00,A,306
610,610,2023-12-29 04:59:00,A,2333
611,611,2024-05-26 05:49:00,A,2061
612,612,2023-08-12 20:46:00,A,856
613,613,2023-07-15 14:53:00,A,262
614,614,2024-01-25 14:18:00,A,1655
615,615,2023-10-02 09:18:00,C,2236
616,616,2023-10-03 05:25:00,C,1240
617,617,2023-06-18 10:31:00,C,194
618,618,2024-05-03 00:03:00,A,381
619,619,2023-11-05 03:05:00,C,2420
620,620,2023-12-18 15:16:00,A,1360
621,621,2023-06-04 02:16:00,A,1340
622,622,2023-10-14 17:07:00,A,1277
623,623,2023-04-18 02:31:00,C,811
624,624,2023-10-28 13:27:00,A,603
625,625,2024-04-05 22:10:00,A,203
626,626,2024-06-09 21:05:00,A,558
627,627,2024-09-12 12:21:00,A,1408
628,628,2023-07-29 02:55:00,A,369
629,629,2024-04-15 05:34:00,A,2237
630,630,2024-01-07 23:36:00,A,617
631,631,2023-11-29 03:29:00,B,1756
632,632,2023-09-22 23:45:00,C,770
633,633,2023-05-27 03:05:00,A,173
634,634,2024-03-03 01:43:00,C,395
635,635,2023-08-03 16:25:00,A,1738
636,636,2024-02-03 15:28:00,B,110
637,637,2024-03-17 12:13:00,A,392
638,638,2023-09-06 16:48:00,A,470
639,639,2023-08-27 01:08:00,A,1424
640,640,2024-04-23 02:52:00,A,855
641,641,2023-11-21 00:01:00,A,98
642,642,2024-03-04 00:06:00,B,2109
643,643,2023-12-28 21:37:00,C,391
644,644,2024-04-13 14:37:00,A,567
645,645,2024-02-28 09:42:00,A,2228
646,646,2023-10-03 01:50:00,A,2195
